quantity	is_null	current_estimator_status	amendment_status	reasoning
core_hr_wt_lost_direction_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_gis_score_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_sbs3_exposure_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_joint_LR	FALSE	unreachable	NEWLY_REACHABLE	Structurally unreachable under the current product-of-marginals estimator (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 3); becomes the amendment's own primary, correctly-factored target (structural reachability -- see PROPOSED_PROTOCOL_AMENDMENT.md's log-linearity risk for approximation-quality, a separate question).
core_hr_product_of_marginals_LR	FALSE	reachable	STILL_REACHABLE	Retained per-feature marginal KDE/Jeffreys machinery, unchanged by the amendment -- this is what the CURRENT estimator's own output already, correctly, equals (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 2); becomes a secondary diagnostic quantity under the amendment, not a newly reachable one.
core_hr_joint_vs_marginal_inflation_ratio	FALSE	unreachable	NEWLY_REACHABLE	Ratio of joint_LR (newly reachable) over product_of_marginals_LR (already reachable) -- was never independently estimator-verifiable while its numerator was unreachable.
core_hr_luma_wt_lost_direction_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_luma_gis_score_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_luma_sbs3_exposure_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_luma_joint_LR	FALSE	unreachable	NEWLY_REACHABLE	Structurally unreachable under the current product-of-marginals estimator (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 3); becomes the amendment's own primary, correctly-factored target (structural reachability -- see PROPOSED_PROTOCOL_AMENDMENT.md's log-linearity risk for approximation-quality, a separate question).
core_hr_luma_product_of_marginals_LR	FALSE	reachable	STILL_REACHABLE	Retained per-feature marginal KDE/Jeffreys machinery, unchanged by the amendment -- this is what the CURRENT estimator's own output already, correctly, equals (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 2); becomes a secondary diagnostic quantity under the amendment, not a newly reachable one.
core_hr_luma_joint_vs_marginal_inflation_ratio	FALSE	unreachable	NEWLY_REACHABLE	Ratio of joint_LR (newly reachable) over product_of_marginals_LR (already reachable) -- was never independently estimator-verifiable while its numerator was unreachable.
core_hr_lumb_wt_lost_direction_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_lumb_gis_score_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_lumb_sbs3_exposure_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_lumb_joint_LR	FALSE	unreachable	NEWLY_REACHABLE	Structurally unreachable under the current product-of-marginals estimator (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 3); becomes the amendment's own primary, correctly-factored target (structural reachability -- see PROPOSED_PROTOCOL_AMENDMENT.md's log-linearity risk for approximation-quality, a separate question).
core_hr_lumb_product_of_marginals_LR	FALSE	reachable	STILL_REACHABLE	Retained per-feature marginal KDE/Jeffreys machinery, unchanged by the amendment -- this is what the CURRENT estimator's own output already, correctly, equals (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 2); becomes a secondary diagnostic quantity under the amendment, not a newly reachable one.
core_hr_lumb_joint_vs_marginal_inflation_ratio	FALSE	unreachable	NEWLY_REACHABLE	Ratio of joint_LR (newly reachable) over product_of_marginals_LR (already reachable) -- was never independently estimator-verifiable while its numerator was unreachable.
core_hr_her2e_wt_lost_direction_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_her2e_gis_score_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_her2e_sbs3_exposure_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_her2e_joint_LR	FALSE	unreachable	NEWLY_REACHABLE	Structurally unreachable under the current product-of-marginals estimator (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 3); becomes the amendment's own primary, correctly-factored target (structural reachability -- see PROPOSED_PROTOCOL_AMENDMENT.md's log-linearity risk for approximation-quality, a separate question).
core_hr_her2e_product_of_marginals_LR	FALSE	reachable	STILL_REACHABLE	Retained per-feature marginal KDE/Jeffreys machinery, unchanged by the amendment -- this is what the CURRENT estimator's own output already, correctly, equals (ESTIMATOR_SPECIFICATION_AUDIT.md STEP 2); becomes a secondary diagnostic quantity under the amendment, not a newly reachable one.
core_hr_her2e_joint_vs_marginal_inflation_ratio	FALSE	unreachable	NEWLY_REACHABLE	Ratio of joint_LR (newly reachable) over product_of_marginals_LR (already reachable) -- was never independently estimator-verifiable while its numerator was unreachable.
core_hr_basal_wt_lost_direction_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_basal_gis_score_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
core_hr_basal_sbs3_exposure_LR	FALSE	reachable	STILL_REACHABLE	Single-feature marginal LR -- retained per-feature KDE/Jeffreys machinery, unchanged by the amendment; this is exactly why P07 (loh_caller.py) and P08 (signatures.py), which only ever score quantities of this kind, survive the amendment unchanged.
