quantity	in_scope	reason
core_hr_wt_lost_direction_LR	TRUE	this caller's own deliverable (pooled): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls
core_hr_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
core_hr_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
core_hr_luma_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
core_hr_luma_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_luma_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
core_hr_luma_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_luma_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_luma_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
core_hr_lumb_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
core_hr_lumb_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_lumb_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
core_hr_lumb_joint_LR	FALSE	a joint estimator over LOH+GIS+SBS3 evidence; this caller produces only a single-feature (LOH-direction) marginal recovery, not a joint density estimate
core_hr_lumb_product_of_marginals_LR	FALSE	requires GIS/SBS3 features this caller does not compute, in addition to a product-of-marginals estimator this caller does not implement
core_hr_lumb_joint_vs_marginal_inflation_ratio	FALSE	downstream of a joint_LR/product_of_marginals_LR pair, both out of scope for this caller
core_hr_her2e_wt_lost_direction_LR	TRUE	this caller's own deliverable (subtype-stratified): recovered from its blind WT_LOSS/CN_NEUTRAL_LOH_WT_LOSS calls, restricted to this PAM50 subtype -- new in-scope target this task, per P06R4's subtype-latent wiring
core_hr_her2e_gis_score_LR	FALSE	requires an HRD/GIS-score feature (scarHRD) this LOH caller does not compute
core_hr_her2e_sbs3_exposure_LR	FALSE	requires a SigProfilerAssignment SBS3-exposure feature this LOH caller does not compute
