quantity	in_scope	reason
core_hr_wt_lost_direction_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_gis_score_LR	FALSE	requires a GIS/HRD-score feature; this script computes only the SBS3 feature
core_hr_sbs3_exposure_LR	TRUE	computed via real SigProfilerAssignment 1.1.5 SBS3 relative-exposure feature (this task's deliverable) -- loh_caller.py previously declared this NOT_IN_SCOPE for exactly this reason
core_hr_joint_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_product_of_marginals_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_joint_vs_marginal_inflation_ratio	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_wt_lost_direction_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_gis_score_LR	FALSE	requires a GIS/HRD-score feature; this script computes only the SBS3 feature
ddr_signaling_sbs3_exposure_LR	TRUE	computed via real SigProfilerAssignment 1.1.5 SBS3 relative-exposure feature (this task's deliverable) -- loh_caller.py previously declared this NOT_IN_SCOPE for exactly this reason
ddr_signaling_joint_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_product_of_marginals_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_joint_vs_marginal_inflation_ratio	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
null_arm_full_vector_joint_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
null_arm_full_vector_product_of_marginals_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
null_arm_full_vector_inflation_ratio	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
null_sequencing_depth_bucket_LR	FALSE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
