quantity	injected	recovered	ci_low	ci_high	estimand_truth	estimand_recovered	relative_bias	status	scope_status	scope_reason	reason
core_hr_wt_lost_direction_LR	4.480411981797967				LR			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_gis_score_LR	3.6622471084686548				LR			BLOCKED	NOT_IN_SCOPE	requires a GIS/HRD-score feature; this script computes only the SBS3 feature	requires a GIS/HRD-score feature; this script computes only the SBS3 feature
core_hr_sbs3_exposure_LR	5.644994542233774	435.24222	61.315827	14426.858662	LR	LR	76.102328	SIMULATED_FAIL	IN_SCOPE	computed via real SigProfilerAssignment 1.1.5 SBS3 relative-exposure feature (this task's deliverable) -- loh_caller.py previously declared this NOT_IN_SCOPE for exactly this reason	CI [61.315827, 14426.858662] does not contain injected value 5.644994542233774 — FAILED per Standing Rule 2; relative bias 76.1023 exceeds tolerance 0.25
core_hr_joint_LR	7.243192150573085				LR			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_product_of_marginals_LR	92.6251919795419				LR			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
core_hr_joint_vs_marginal_inflation_ratio	0.07819894345992705				LR_RATIO			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_wt_lost_direction_LR	2.137348544853484				LR			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
ddr_signaling_gis_score_LR	2.7235909709691692				LR			BLOCKED	NOT_IN_SCOPE	requires a GIS/HRD-score feature; this script computes only the SBS3 feature	requires a GIS/HRD-score feature; this script computes only the SBS3 feature
ddr_signaling_sbs3_exposure_LR	3.9157230519927206	112.01845	11.588999	7897.461071	LR	LR	27.607347	SIMULATED_FAIL	IN_SCOPE	computed via real SigProfilerAssignment 1.1.5 SBS3 relative-exposure feature (this task's deliverable) -- loh_caller.py previously declared this NOT_IN_SCOPE for exactly this reason	CI [11.588999, 7897.461071] does not contain injected value 3.9157230519927206 — FAILED per Standing Rule 2; relative bias 27.6073 exceeds tolerance 0.25
ddr_signaling_joint_LR	6.204176316151221				LR			BLOCKED	NOT_IN_SCOPE	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities	a joint/product-of-marginals/null-arm estimator over LOH+GIS+SBS3 evidence; this script produces only a single-feature (SBS3) marginal recovery, not a joint density estimate, matching loh_caller.py's own scope boundary for the equivalent LOH-only quantities
