parameter_name	value	source_type	source_reference	rationale
SEED	20260907	ARBITRARY	n/a	Fixed seed for full reproducibility; chosen as today's date (YYYYMMDD) purely as a memorable, arbitrary constant -- not tuned to produce any particular output. Unchanged from v1.
GENE_GROUPS.CORE_HR	BRCA1,BRCA2,PALB2,RAD51C,RAD51D,RAD51B,BRIP1,BARD1,RAD54L	ARBITRARY	PROTOCOL.md §1.1	Copied verbatim from this project's own pre-registered protocol. Unchanged from v1.
GENE_GROUPS.DDR_SIGNALING	ATM,CHEK1,CHEK2,ATR,MRE11,RAD50,NBN,FANCM	ARBITRARY	PROTOCOL.md §1.2	Copied verbatim from this project's own pre-registered protocol. Unchanged from v1.
GENE_GROUPS.NULL_ARM	ATM,CHEK1,CHEK2,ATR,MRE11,RAD50,NBN,FANCM (same list as DDR_SIGNALING)	ARBITRARY	n/a	DEFECT 4's "DDR-signaling-analogue" arm uses the SAME gene list as DDR_SIGNALING by design (a minimal-difference null construction: same genes, same link parameters, only Z_MEAN made class-identical) so the null arm is structurally comparable to a real stratum, not an arbitrary extra gene set.
PAM50_PROPORTIONS	LumA=0.4491,LumB=0.2515,HER2E=0.1138,Basal=0.1856	BENCHMARKS_ROW	PAM01	Copied from BENCHMARKS.tsv row PAM01. Unchanged from v1.
WGD_PREVALENCE	0.30	BENCHMARKS_ROW	WGD01	Copied from BENCHMARKS.tsv row WGD01 (Bielski et al. 2018 Nat Genet). Unchanged from v1.
MEAN_MUTATIONS_PER_EXOME	60.05	BENCHMARKS_ROW	TMB01	Copied from BENCHMARKS.tsv row TMB01. Unchanged from v1.
MIN_EVALUABLE_DEPTH	20	ARBITRARY	PROTOCOL.md §5.2	Copied verbatim from PROTOCOL.md's own fixed rule; not a free simulator choice. Unchanged from v1.
NORMAL_DEPTH_MEAN	40.0	ARBITRARY	n/a	Mean of a Normal draw for simulated normal sequencing depth. Unchanged from v1 (~2.7x PROTOCOL.md §2 S5's 15x normal-depth floor).
PLOIDY_RANGE	[1.5, 5.5]	ARBITRARY	n/a	Matches ASCAT's own default search bounds. Unchanged from v1.
PURITY_BINS	LOW=[0.10,0.35), MID=[0.35,0.65), HIGH=[0.65,0.95]	ARBITRARY	n/a	NEW (v2, DEFECT 1): the purity axis of the coverage grid. Fixed before any generation was run, not chosen post-hoc; a simple, roughly equal 3-way split of the same [0.10,0.95] range v1 used for free-form purity sampling.
